revision	round	side	workload	batch_index	latency_ns
V1	1	1	dense_colour	1	2936795
V1	1	1	dense_colour	2	2906791
V1	1	1	dense_colour	3	2940012
V1	1	1	dense_colour	4	2952370
V1	1	1	dense_colour	5	2960016
V1	1	1	dense_colour	6	2943304
V1	1	1	dense_colour	7	2963104
V1	1	1	dense_colour	8	2946800
V1	1	1	dense_colour	9	2859833
V1	1	1	dense_colour	10	2916150
V1	1	1	dense_colour	11	2882175
V1	1	1	dense_colour	12	3092670
V1	1	1	dense_colour	13	3010054
V1	1	1	dense_colour	14	2874887
V1	1	1	dense_colour	15	2883225
V1	1	1	dense_colour	16	3015429
V1	1	1	dense_colour	17	2971120
V1	1	1	dense_colour	18	2944645
V1	1	1	dense_colour	19	2959754
V1	1	1	dense_colour	20	2920654
V1	1	1	dense_colour	21	2916987
V1	1	1	dense_colour	22	2913908
V1	1	1	dense_colour	23	2892570
V1	1	1	dense_colour	24	2945379
V1	1	1	dense_colour	25	2921316
V1	1	1	dense_colour	26	2920245
V1	1	1	dense_colour	27	2892904
V1	1	1	dense_colour	28	2876541
V1	1	1	dense_colour	29	2877058
V1	1	1	dense_colour	30	2924412
V1	1	1	dense_colour	31	2963004
V1	1	1	dense_colour	32	2974958
V1	1	1	dense_colour	33	2963470
V1	1	1	dense_colour	34	2891141
V1	1	1	dense_colour	35	2885620
V1	1	1	dense_colour	36	2920595
V1	1	1	dense_colour	37	2849129
V1	1	1	dense_colour	38	2857879
V1	1	1	dense_colour	39	2887062
V1	1	1	dense_colour	40	2927450
V1	1	1	dense_colour	41	2928125
V1	1	1	dense_colour	42	2963208
V1	1	1	dense_colour	43	2964420
V1	1	1	dense_colour	44	2962862
V1	1	1	dense_colour	45	2993762
V1	1	1	dense_colour	46	2983150
V1	1	1	dense_colour	47	2958433
V1	1	1	dense_colour	48	2921283
V1	1	1	dense_colour	49	2921370
V1	1	1	dense_colour	50	2959354
V1	1	1	dense_colour	51	2968850
V1	1	1	dense_colour	52	2965720
V1	1	1	dense_colour	53	2965283
V1	1	1	dense_colour	54	2911345
V1	1	1	dense_colour	55	2958116
V1	1	1	dense_colour	56	2948008
V1	1	1	dense_colour	57	2948279
V1	1	1	dense_colour	58	2903020
V1	1	1	dense_colour	59	2919054
V1	1	1	dense_colour	60	2900575
V1	1	1	dense_colour	61	2893479
V1	1	1	dense_colour	62	2887816
V1	1	1	dense_colour	63	2851862
