revision	count	stack_root_to_leaf
master	678	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;_xzm_free
master	183	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;_free
master	125	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvNtCsitGFVNq7Ifu_4core3fmt5write;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc;_platform_memmove
master	120	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvMNtNtCsitGFVNq7Ifu_4core3fmt2rtNtB2_8Argument3fmt;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc
master	118	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;herdr::protocol::render_ansi::build_sgr;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvMNtNtCsitGFVNq7Ifu_4core3fmt2rtNtB2_8Argument3fmt;_RNvMsa_NtNtNtCsitGFVNq7Ifu_4core3fmt3num3impm4__fmt
master	110	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;herdr::protocol::render_ansi::build_sgr;herdr::protocol::render_ansi::color_to_sgr_fg
master	104	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvNtCsitGFVNq7Ifu_4core3fmt5write;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc
master	104	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;herdr::protocol::render_ansi::build_sgr;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvMNtNtCsitGFVNq7Ifu_4core3fmt2rtNtB2_8Argument3fmt;_RNvXs8_NtNtNtCsitGFVNq7Ifu_4core3fmt3num3impmNtB9_7Display3fmt;_RNvMsa_NtCsitGFVNq7Ifu_4core3fmtNtB5_9Formatter12pad_integral
master	102	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::raw_vec::RawVecInner$LT$A$GT$::reserve;alloc::raw_vec::RawVecInner$LT$A$GT$::grow_amortized;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;xzm_malloc_zone_size
master	101	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;_xzm_free
master	101	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::raw_vec::RawVecInner$LT$A$GT$::reserve;alloc::raw_vec::RawVecInner$LT$A$GT$::grow_amortized;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc
master	97	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;DYLD-STUB$$free
