revision	round	side	workload	batch_index	latency_ns
master	1	1	dense_colour	1	2937654
master	1	1	dense_colour	2	2924062
master	1	1	dense_colour	3	2966179
master	1	1	dense_colour	4	2907808
master	1	1	dense_colour	5	2914062
master	1	1	dense_colour	6	3016079
master	1	1	dense_colour	7	3009791
master	1	1	dense_colour	8	3165716
master	1	1	dense_colour	9	3115054
master	1	1	dense_colour	10	2996975
master	1	1	dense_colour	11	3128937
master	1	1	dense_colour	12	3147354
master	1	1	dense_colour	13	3011587
master	1	1	dense_colour	14	3255366
master	1	1	dense_colour	15	3338420
master	1	1	dense_colour	16	3263000
master	1	1	dense_colour	17	3440175
master	1	1	dense_colour	18	3231345
master	1	1	dense_colour	19	3223995
master	1	1	dense_colour	20	3082245
master	1	1	dense_colour	21	3009362
master	1	1	dense_colour	22	3056845
master	1	1	dense_colour	23	3035258
master	1	1	dense_colour	24	3082016
master	1	1	dense_colour	25	3054708
master	1	1	dense_colour	26	3211158
master	1	1	dense_colour	27	2935500
master	1	1	dense_colour	28	2935266
master	1	1	dense_colour	29	2988325
master	1	1	dense_colour	30	3016866
master	1	1	dense_colour	31	2990212
master	1	1	dense_colour	32	3045000
master	1	1	dense_colour	33	2969841
master	1	1	dense_colour	34	2921083
master	1	1	dense_colour	35	3006366
master	1	1	dense_colour	36	3067145
master	1	1	dense_colour	37	3037916
master	1	1	dense_colour	38	2975137
master	1	1	dense_colour	39	3000929
master	1	1	dense_colour	40	3963458
master	1	1	dense_colour	41	2987825
master	1	1	dense_colour	42	3251204
master	1	1	dense_colour	43	3079787
master	1	1	dense_colour	44	3027604
master	1	1	dense_colour	45	3023495
master	1	1	dense_colour	46	3029745
master	1	1	dense_colour	47	3020287
master	1	1	dense_colour	48	3020100
master	1	1	dense_colour	49	3030033
master	1	1	dense_colour	50	3031412
master	1	1	dense_colour	51	2983858
master	1	1	dense_colour	52	3017066
master	1	1	dense_colour	53	3016537
master	1	1	dense_colour	54	2984770
master	1	1	dense_colour	55	3016537
master	1	1	dense_colour	56	3027683
master	1	1	dense_colour	57	2992366
master	1	1	dense_colour	58	3012695
master	1	1	dense_colour	59	3000520
master	1	1	dense_colour	60	3035533
master	1	1	dense_colour	61	3030041
master	1	1	dense_colour	62	3039183
master	1	1	dense_colour	63	3142420
master	1	1	dense_colour	64	3124695
master	1	1	dense_colour	65	2929508
master	1	1	dense_colour	66	2953708
master	1	1	dense_colour	67	2998487
master	1	1	dense_colour	68	3017408
master	1	1	dense_colour	69	3217279
master	1	1	dense_colour	70	2980108
master	1	1	dense_colour	71	3057195
master	1	1	dense_colour	72	3068112
master	1	1	dense_colour	73	3034854
master	1	1	dense_colour	74	3018658
master	1	1	dense_colour	75	3036050
master	1	1	dense_colour	76	2992512
master	1	1	dense_colour	77	2973850
master	1	1	dense_colour	78	2974595
master	1	1	dense_colour	79	3036658
master	1	1	dense_colour	80	3036329
master	1	1	dense_colour	81	3083920
master	1	1	dense_colour	82	3079516
master	1	1	dense_colour	83	2984470
master	1	1	dense_colour	84	3051975
master	1	1	dense_colour	85	2996691
master	1	1	dense_colour	86	2983520
master	1	1	dense_colour	87	2948983
master	1	1	dense_colour	88	2996162
master	1	1	dense_colour	89	2945316
master	1	1	dense_colour	90	2985070
master	1	1	dense_colour	91	3001679
master	1	1	dense_colour	92	3007820
master	1	1	dense_colour	93	2989637
master	1	1	dense_colour	94	3022350
